"delay_median: Descending",Count
"0.10999999940395355",122342
"0.029999999329447746",112574
"0.10000000149011612",107333
"0.09000000357627869",59093
"3.369999885559082",46381
"3.3499999046325684",43664
"3.359999895095825",42479
"3.380000114440918",41560
"3.319999933242798",39379
"3.4000000953674316",38505
"3.4100000858306885",38093
"3.390000104904175",35386
"3.3299999237060547",34552
"3.4200000762939453",31319
"3.2899999618530273",30671
"3.430000066757202",30639
"3.309999942779541",29945
"3.440000057220459",28241
"3.2300000190734863",28036
"3.3399999141693115",27200
